Date,Open,High,Low,Close,Adj Close,Volume
2018-02-27,111.190002,112.080002,110.709999,110.889999,98.407082,6385800
2018-02-28,111.000000,111.650002,109.680000,109.730003,97.377663,4638900
2018-03-01,109.209999,109.879997,107.239998,108.120003,96.658028,6896300
2018-03-02,107.910004,109.320000,107.900002,109.040001,97.480476,4903600
2018-03-05,108.459999,109.599998,108.019997,109.430000,97.829124,3781700
2018-03-06,109.360001,109.620003,108.440002,109.580002,97.963242,3380800
2018-03-07,108.889999,110.059998,108.610001,109.839996,98.195656,4612600
2018-03-08,110.029999,112.129997,109.580002,112.080002,100.198181,5437700
2018-03-09,112.269997,112.570000,111.639999,112.540001,100.609428,3680600
2018-03-12,112.500000,113.089996,112.080002,112.750000,100.797173,4509600
2018-03-13,113.269997,113.900002,112.720001,113.599998,101.557068,4590000
2018-03-14,113.570000,113.769997,112.230003,112.610001,100.672005,4055700
2018-03-15,112.400002,113.250000,111.660004,111.989998,100.117729,3906800
2018-03-16,112.330002,113.199997,111.580002,111.639999,99.804840,7730800
2018-03-19,111.650002,111.989998,110.050003,110.360001,98.660530,4216700
2018-03-20,110.750000,111.300003,109.830002,109.900002,98.249306,3319000
2018-03-21,109.889999,110.080002,108.529999,108.739998,97.212288,3867600
2018-03-22,108.449997,109.669998,107.800003,107.940002,96.497078,4325500
2018-03-23,108.089996,108.739998,105.940002,106.150002,94.896858,4873300
2018-03-26,106.680000,107.470001,106.089996,106.809998,95.486885,4119400
2018-03-27,107.230003,108.540001,106.510002,107.639999,96.228882,5036300
2018-03-28,108.139999,110.110001,108.000000,109.180000,97.605637,6413000
2018-03-29,110.120003,110.660004,108.970001,109.150002,97.578812,3829500
2018-04-02,108.620003,109.220001,106.440002,107.050003,95.701454,4325500
2018-04-03,107.389999,108.529999,106.589996,108.190002,96.720596,4699000
2018-04-04,107.779999,110.730003,107.239998,110.180000,98.499634,4694200
2018-04-05,110.430000,111.180000,109.750000,110.570000,98.848282,3275700
2018-04-06,110.059998,110.980003,108.769997,109.300003,97.712914,3579100
2018-04-09,109.540001,110.449997,108.779999,109.379997,97.784431,2620000
2018-04-10,109.739998,110.199997,108.919998,109.400002,97.802322,2817000
2018-04-11,108.570000,109.470001,108.419998,108.680000,97.158638,4000200
2018-04-12,108.959999,109.510002,108.269997,108.309998,96.827873,2691700
2018-04-13,108.849998,109.459999,108.519997,109.260002,97.677162,2828300
2018-04-16,109.750000,110.639999,109.519997,109.919998,98.267174,2769800
2018-04-17,108.690002,109.080002,107.980003,108.870003,97.328514,5022000
2018-04-18,108.970001,109.360001,106.459999,106.980003,95.638855,6525500
2018-04-19,106.709999,106.940002,105.080002,105.570000,94.378342,6320200
2018-04-20,105.449997,105.599998,102.269997,102.480003,91.615913,8650000
2018-04-23,102.550003,102.800003,101.839996,102.580002,91.705307,6670600
2018-04-24,102.620003,102.849998,100.970001,101.440002,90.686157,5695500
2018-04-25,101.209999,102.360001,100.849998,101.150002,90.426903,4828300
2018-04-26,102.250000,104.080002,101.150002,103.260002,92.313210,5978800
2018-04-27,102.220001,102.989998,101.650002,101.709999,90.927536,4765900
2018-04-30,101.849998,102.389999,100.580002,100.940002,90.239166,5479900
2018-05-01,100.360001,100.930000,98.570000,99.129997,88.621040,4543900
2018-05-02,99.160004,99.360001,97.029999,97.230003,86.922470,5927700
2018-05-03,97.480003,98.089996,96.699997,97.599998,87.253258,6668200
2018-05-04,97.550003,99.769997,97.500000,98.989998,88.495903,5937000
2018-05-07,98.980003,99.309998,98.070000,98.230003,87.816483,3475400
2018-05-08,97.910004,97.989998,96.430000,96.790001,86.529121,5333700
2018-05-09,97.190002,97.519997,95.940002,96.160004,85.965897,6201500
2018-05-10,96.430000,97.739998,96.400002,97.269997,86.958229,3100600
2018-05-11,97.580002,98.260002,96.879997,97.430000,87.101257,3507300
2018-05-14,97.690002,97.730003,96.730003,97.150002,86.850952,4307900
2018-05-15,96.610001,97.239998,96.360001,96.800003,86.538063,6555700
2018-05-16,96.639999,97.550003,96.550003,97.190002,86.886719,5544700
2018-05-17,97.550003,97.989998,97.150002,97.919998,87.539322,6531100
2018-05-18,98.309998,98.449997,97.320000,97.510002,87.172798,6894000
2018-05-21,98.220001,99.980003,98.059998,99.510002,88.960762,6678100
2018-05-22,99.779999,100.459999,99.430000,99.930000,89.336250,6807600
2018-05-23,99.930000,100.599998,99.610001,100.449997,89.801117,6249900
2018-05-24,100.309998,100.580002,99.760002,100.180000,89.559738,4696700
2018-05-25,100.180000,101.110001,99.900002,100.309998,89.675949,5324300
2018-05-29,100.000000,101.290001,100.000000,101.099998,90.382210,8302600
2018-05-30,101.660004,102.239998,101.089996,101.830002,91.034828,6256600
2018-05-31,101.150002,101.300003,99.660004,100.250000,90.446571,8270100
2018-06-01,100.540001,100.930000,99.650002,100.250000,90.446571,4414200
2018-06-04,100.769997,101.089996,100.029999,100.120003,90.329308,3932000
2018-06-05,100.459999,100.959999,99.879997,100.209999,90.410492,4851900
2018-06-06,100.400002,100.860001,99.820000,100.830002,90.969879,3946700
2018-06-07,100.510002,101.510002,100.330002,101.160004,91.267586,5052900
2018-06-08,101.180000,102.610001,101.180000,102.489998,92.467537,4795500
2018-06-11,102.610001,103.410004,102.269997,103.209999,93.117134,3984500
2018-06-12,103.230003,104.550003,102.820000,104.480003,94.262924,5075900
2018-06-13,104.160004,105.599998,104.160004,105.269997,94.975685,7553500
2018-06-14,105.260002,105.360001,104.430000,105.129997,94.849365,4812600
2018-06-15,105.099998,107.750000,104.820000,107.610001,97.086861,10573000
2018-06-18,107.010002,107.209999,104.830002,105.379997,95.074928,5964400
2018-06-19,105.489998,106.680000,105.220001,105.959999,95.598206,5504400
